date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:11:35	38003/38003	---MCZ	200	added ('OK')	text/html	etag:W/%229473-58f0e8c9f6209-gzip%22	https://www.instahealthsolutions.com/	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/index.html	(from )
01:11:36	7780/7780	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20May%202020%2008:11:35%20GMT	https://www.instahealthsolutions.com/robots.txt		(from )
01:11:36	2353/2353	---M--	200	added ('OK')	image/png	etag:%225b9260c5-931%22	https://www.instahealthsolutions.com/images/fav.png	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/images/fav.png	(from https://www.instahealthsolutions.com/)
01:11:36	146084/146084	---MCZ	200	added ('OK')	text/css	etag:W/%225b925f1b-23aa4%22	https://www.instahealthsolutions.com/css/bootstrap.css	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/css/bootstrap.css	(from https://www.instahealthsolutions.com/)
01:11:37	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%225b925f13-7187%22	https://www.instahealthsolutions.com/css/font-awesome.min.css	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/css/font-awesome.min.css	(from https://www.instahealthsolutions.com/)
01:11:37	3404/3404	---MCZ	200	added ('OK')	text/css	etag:W/%225e2b0b29-d4c%22	https://www.instahealthsolutions.com/css/easy-responsive-tabs.css	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/css/easy-responsive-tabs.css	(from https://www.instahealthsolutions.com/)
01:11:37	3821/3821	---MCZ	200	added ('OK')	text/css	etag:W/%225b925f11-eed%22	https://www.instahealthsolutions.com/css/jquery.bxslider.css	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/css/jquery.bxslider.css	(from https://www.instahealthsolutions.com/)
01:11:38	72445/72445	---MCZ	200	added ('OK')	text/css	etag:W/%225def4b5e-11afd%22	https://www.instahealthsolutions.com/css/style.css	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/css/style.css	(from https://www.instahealthsolutions.com/)
01:11:38	24891/24891	---MCZ	200	added ('OK')	text/css	etag:W/%225b925f15-613b%22	https://www.instahealthsolutions.com/css/responsive.css	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/css/responsive.css	(from https://www.instahealthsolutions.com/)
01:11:38	83100/83100	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d42e89d-1449c%22	https://www.instahealthsolutions.com/js/jquery.min.js	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/js/jquery.min.js	(from https://www.instahealthsolutions.com/)
01:11:38	6489/6489	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d42e89c-1959%22	https://www.instahealthsolutions.com/js/easy-responsive-tabs.js	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/js/easy-responsive-tabs.js	(from https://www.instahealthsolutions.com/)
01:11:39	71317/71317	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d42e89b-11695%22	https://www.instahealthsolutions.com/js/bootstrap.js	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/js/bootstrap.js	(from https://www.instahealthsolutions.com/)
01:11:39	51916/51916	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d42e89c-cacc%22	https://www.instahealthsolutions.com/js/jquery.bxslider.js	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/js/jquery.bxslider.js	(from https://www.instahealthsolutions.com/)
01:11:40	6179/6179	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d53fe83-1823%22	https://www.instahealthsolutions.com/js/script.js	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/js/script.js	(from https://www.instahealthsolutions.com/)
01:11:41	3578/3578	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2007%20Oct%202019%2016:41:31%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/My%20Web%20Sites/istahealth/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://www.instahealthsolutions.com/)
01:11:41	4340/4340	---M--	200	added ('OK')	image/png	etag:%225b926055-10f4%22	https://www.instahealthsolutions.com/images/logo_practo.png	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/images/logo_practo.png	(from https://www.instahealthsolutions.com/)
01:11:42	38003/38003	---MCZ	200	added ('OK')	text/html	etag:W/%229473-58f0e8c9f6209%22	https://www.instahealthsolutions.com/index.html	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/index-2.html	(from https://www.instahealthsolutions.com/)
01:11:43	2296/2296	---M--	200	added ('OK')	image/png	etag:%225b92609a-8f8%22	https://www.instahealthsolutions.com/images/logo_ins.png	C:/My%20Web%20Sites/istahealth/www.instahealthsolutions.com/images/logo_ins.png	(from https://www.instahealthsolutions.com/)
